league,journee,home,away,odd_1,odd_x,odd_2,odd_g,odd_ng,result
French League,21,Nantes,Rennes,3.14,3.26,2.30,1.70,2.10,2
French League,21,Monaco,Lille,2.06,3.40,3.57,1.65,2.20,2
French League,21,Lens,Auxerre,1.44,4.55,6.86,1.55,2.35,1
French League,21,Paris SG,Brest,1.40,5.29,6.47,1.60,2.25,1
French League,21,Toulouse,Lorient,1.99,3.65,3.53,1.72,2.05,1
French League,21,Le Havre,Nice,4.95,3.55,1.74,1.80,1.95,2
French League,21,Angers,Paris FC,3.62,3.36,2.06,1.75,2.00,2
French League,21,Lyon,Strasbourg,1.73,4.04,4.26,1.68,2.15,1
French League,21,Marseille,Metz,1.16,7.72,14.52,1.40,2.70,1
